lambda	absorption
(nm)	(1/cm)
200.00	0.069000
225.00	0.027400
250.00	0.016800
275.00	0.010700
300.00	0.0067000
325.00	0.0041800
350.00	0.0023300
375.00	0.0011700
400.00	0.00058000
425.00	0.00038000
450.00	0.00028000
475.00	0.00024700
500.00	0.00025000
525.00	0.00032000
550.00	0.00045000
575.00	0.00079000
600.00	0.0023000
625.00	0.0028000
650.00	0.0032000
675.00	0.0041500
700.00	0.0060000
725.00	0.015900
750.00	0.026000
775.00	0.024000
800.00	0.020000
810.00	0.019858
820.00	0.023907
825.00	0.028000
830.00	0.029069
840.00	0.034707
850.00	0.043000
860.00	0.046759
870.00	0.051999
875.00	0.056000
880.00	0.055978
890.00	0.060432
900.00	0.068000
910.00	0.072913
920.00	0.10927
925.00	0.14400
930.00	0.17296
940.00	0.26737
950.00	0.39000
960.00	0.42000
970.00	0.45000
975.00	0.45000
980.00	0.43000
990.00	0.41000
1000.0	0.36000
1020.0	0.27000
1040.0	0.16000
1060.0	0.12000
1080.0	0.13000
1100.0	0.17000
1120.0	0.52000
1140.0	0.66000
1160.0	0.89000
1180.0	1.0400
1200.0	1.0400
1220.0	0.95000
1240.0	0.88000
1260.0	0.89000
1280.0	0.98000
1300.0	1.1100
1320.0	1.3800
1340.0	1.8300
1360.0	2.7700
1380.0	6.1000
1400.0	12.390
1420.0	22.120
1440.0	28.800
1460.0	28.400
1480.0	21.230
1500.0	17.590
1520.0	14.050
1540.0	11.830
1560.0	9.6700
1580.0	7.9500
1600.0	6.7200
1620.0	5.8200
1640.0	4.9800
1660.0	4.5400
1680.0	4.4900
1700.0	4.4400
1720.0	5.1100
1740.0	6.1400
1760.0	7.1400
1780.0	8.1200
1800.0	8.0300
1820.0	8.9800
1840.0	10.240
1860.0	14.190
1880.0	31.080
1900.0	66.140
1920.0	114.54
1940.0	119.83
1960.0	105.79
1980.0	92.030
2000.0	69.120
